               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.026809,            0.059909,           0.0022815,             0.94001,             0.94567,             0.96183,             0.67303,            0.025282,             0.03912,           0.0018848,           0.0074507,           0.0074507,           0.0074507
                 105,            0.026681,            0.060186,           0.0023922,             0.94695,             0.94516,             0.96663,             0.67661,            0.025478,            0.039131,           0.0017161,            0.007426,            0.007426,            0.007426
                 106,            0.026214,            0.059336,           0.0022902,             0.95151,             0.93883,             0.96269,             0.68217,            0.025129,            0.038757,           0.0029448,           0.0074013,           0.0074013,           0.0074013
                 107,            0.026835,            0.060899,           0.0024692,              0.9577,             0.93895,             0.96665,             0.67412,            0.026034,            0.039932,           0.0018897,           0.0073765,           0.0073765,           0.0073765
                 108,            0.026094,            0.059456,           0.0025604,             0.95489,              0.9411,              0.9641,             0.68353,            0.025141,            0.038288,           0.0023951,           0.0073517,           0.0073517,           0.0073517
                 109,            0.026646,             0.05949,           0.0024032,             0.94401,             0.95324,              0.9629,             0.69429,            0.025284,             0.03817,           0.0032486,            0.007327,            0.007327,            0.007327
                 110,            0.026181,            0.060696,           0.0023235,             0.95481,             0.95139,             0.96334,             0.67684,            0.025354,            0.038673,           0.0037502,           0.0073023,           0.0073023,           0.0073023
                 111,            0.026719,            0.056514,           0.0022747,             0.94808,             0.94948,             0.96426,             0.68728,              0.0243,            0.037712,           0.0031151,           0.0072775,           0.0072775,           0.0072775
                 112,            0.026065,             0.05937,           0.0021831,             0.95163,              0.9657,              0.9713,             0.68664,            0.025603,            0.038864,           0.0028305,           0.0072527,           0.0072527,           0.0072527
                 113,            0.026265,            0.057895,           0.0026482,             0.94754,             0.94253,             0.97061,             0.68896,            0.024823,            0.038403,           0.0019596,            0.007228,            0.007228,            0.007228
                 114,            0.026568,            0.060308,           0.0021954,             0.93621,             0.96169,             0.97046,             0.68784,            0.024927,            0.038105,           0.0017072,           0.0072033,           0.0072033,           0.0072033
